Temperature;Turbidity (cm);Dissolved Oxygen (mg/L);Biochemical Oxygen Demand (mg/L);Carbon Dioxide (CO2);pH;Total Alkalinity (mg L-1);Total Hardness (mg L-1);Calcium (mg L-1);Ammonia (mg L-1);Nitrite (mg L-1);Phosphorus (mg L-1);Hydrogen Sulfide (mg L-1);Plankton Count (No. L-1);Water Quality Label;Aquaculture Suitability Tier;Aquaculture Suitability Description
19.21;21.81;75.292;30.931;86.648;90.007;472.616;2.098.011;1.828.001;0.0384;0.8418;0.0188;0.0103;2963.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.62;27.36;60.308;54.411;18.538;61.285;49.856;555.235;104.167;0.0426;0.4991;26.092;0.0131;2407.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
30.48;17.21;51.964;58.598;8.645;60.373;1.450.319;579.164;2.142.434;0.046;15.449;0.0273;0.0136;4596.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.73;19.21;50.819;47.834;0.1073;62.045;251.305;547.866;1.863.735;0.0271;0.3416;24.524;0.0056;5293.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.67;25.96;50.538;24.541;24.068;93.199;1.893.713;2.834.105;105.255;0.0367;15.302;21.255;0.0188;2106.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.08;21.15;6.331;2.59;12.217;93.029;1.664.015;435.966;1.167.352;0.0464;11.251;24.112;0.0054;2692.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.85;21.1;59.435;28.724;90.779;62.784;1.507.457;644.789;181.285;0.0354;14.882;23.139;0.0036;2105.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
17.1;28.69;6.919;4.778;95.257;60.145;46.426;285.841;2.474.202;0.032;0.5592;22.247;0.0162;2633.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.18;26.34;65.526;56.736;95.715;64.244;1.686.399;266.536;1.617.838;0.0451;16.523;26.296;0.0157;4835.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.1;22.3;52.136;43.055;8.066;91.007;1.182.579;2.590.127;235.581;0.0299;14.543;0.0235;0.0066;5984.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.76;18.56;72.613;32.278;24.604;64.124;425.951;1.893.443;182.007;0.0451;0.5283;0.0164;0.0133;4551.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.07;20.6;62.375;20.856;0.5914;94.178;483.367;608.252;183.467;0.0464;0.4361;28.969;0.0179;2030.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.09;28.18;78.993;28.537;8.694;62.937;29.495;606.157;1.658.171;0.0373;0.4718;29.529;0.0062;5554.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.47;27.78;61.818;31.716;28.196;90.368;1.730.804;578.258;111.504;0.0367;0.0226;22.496;0.01;2626.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
16.99;16.43;79.286;32.721;92.078;94.533;169.985;2.706.078;122.662;0.0363;17.507;0.0105;0.0073;2248.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.36;18.35;67.783;49.468;11.375;92.791;1.049.053;347.048;16.844;0.0314;1.785;0.025;0.0082;2689.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.57;26.17;50.303;34.756;13.997;92.645;1.740.615;2.180.913;103.904;0.0464;0.3796;0.0265;0.0148;2077.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.91;21.57;66.587;49.909;81.721;62.867;1.059.587;224.037;1.100.748;0.0385;0.8398;0.011;0.0069;2464.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
18.1;27.98;75.201;41.898;0.3658;9.398;479.964;1.600.389;2.373.677;0.0405;12.215;24.896;0.0092;2822.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.17;16.41;54.811;4.751;86.605;92.464;1.367.372;683.656;115.729;0.0371;10.948;0.0184;0.017;2658.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.38;26.85;51.969;3.238;0.9081;6.235;1.277.409;354.467;1.415.277;0.0346;0.4095;29.731;0.0161;4975.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
30.24;25.3;69.955;38.684;96.811;6.443;1.547.735;545.456;105.225;0.0329;0.5952;0.0219;0.0065;2731.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
17.2;25.16;71.172;55.505;12.996;91.834;45.492;2.777.107;235.005;0.0436;12.853;28.031;0.0019;4995.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.2;19.87;77.397;57.028;85.318;61.841;29.198;1.910.682;1.502.438;0.0481;12.659;0.0247;0.0067;4932.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.47;21.35;66.338;37.077;3.477;92.115;439.333;2.740.092;2.401.052;0.0333;0.3043;0.0144;0.0114;5950.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.38;15.12;5.019;27.714;14.014;93.569;360.362;583.479;2.325.373;0.0352;14.242;0.0171;0.0025;5926.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.0;15.12;56.696;57.872;27.968;63.298;340.936;287.787;238.851;0.0335;15.727;0.0249;0.0082;2070.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.76;23.9;5.021;58.199;98.464;64.956;1.489.382;1.891.408;1.967.002;0.0328;0.4706;0.0203;0.0026;4711.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.5;15.64;56.502;5.615;0.0083;93.374;1.354.031;262.078;106.382;0.046;0.1495;23.255;0.0086;2561.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.47;16.46;5.112;58.373;9.474;90.254;46.299;2.428.493;234.621;0.0262;0.5007;0.0198;0.0073;2920.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
17.49;16.96;76.302;27.094;94.715;91.621;1.969.315;1.825.963;240.618;0.0374;11.566;20.556;0.014;5943.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
30.71;24.67;63.798;25.044;96.582;93.682;401.529;665.355;134.275;0.0261;0.2558;20.654;0.0161;2628.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
17.75;26.44;57.456;49.213;95.322;61.756;302.416;1.815.375;2.056.443;0.0346;12.775;21.566;0.0006;2718.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.69;28.06;59.296;54.999;28.164;61.601;1.823.842;525.336;1.395.319;0.0496;1.334;2.485;0.007;2232.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
18.75;22.75;69.955;29.777;8.906;63.562;1.659.777;1.700.123;231.825;0.0408;11.692;0.0231;0.0136;2484.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.39;29.63;55.717;36.941;82.197;90.604;304.743;689.771;207.626;0.0366;0.1301;0.0116;0.0039;2657.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
16.33;24.75;79.439;52.483;43.378;91.333;279.697;474.904;220.988;0.0446;0.1591;0.0145;0.0035;2507.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.36;20.39;65.894;4.613;36.098;93.573;310.208;2.818.785;209.555;0.0337;0.214;0.0285;0.0117;4553.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.99;28.36;59.077;52.624;92.023;63.749;341.679;520.273;2.489.676;0.0387;16.823;21.213;0.007;5838.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.31;25.79;58.907;39.984;83.961;93.236;149.278;1.831.098;131.026;0.0291;1.542;22.319;0.0107;2127.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.12;23.09;76.507;49.212;3.099;64.773;290.638;1.601.412;206.615;0.0329;13.393;25.635;0.0126;2404.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.73;15.98;59.405;4.652;17.204;94.224;1.706.696;622.929;1.509.027;0.0466;1.94;22.653;0.0147;2137.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
30.08;29.61;76.204;3.015;20.414;91.213;1.177.334;606.061;148.017;0.0257;10.816;25.452;0.012;5903.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
30.96;15.09;78.401;23.284;88.756;62.014;1.277.093;484.131;20.054;0.0298;0.7659;0.0239;0.0127;2556.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.2;29.9;69.235;45.312;93.403;90.539;1.527.509;310.584;1.617.454;0.041;0.2692;0.018;0.0012;2558.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.38;20.85;68.003;37.301;22.843;93.259;477.966;536.423;138.221;0.0401;17.433;24.151;0.003;2242.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
18.1;27.54;65.034;28.457;40.365;92.775;1.758.265;2.722.621;144.864;0.0318;0.7981;0.0147;0.0078;5843.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.69;27.07;74.728;56.474;93.957;90.127;261.975;1.735.783;2.081.933;0.0463;0.0708;29.707;0.0148;2237.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.73;27.96;76.059;46.407;97.067;63.901;317.422;489.654;2.470.787;0.0389;19.635;0.0235;0.018;2394.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.18;27.84;70.294;31.781;42.401;61.329;363.295;711.615;164.232;0.03;10.226;22.656;0.0154;2101.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
18.87;28.83;59.955;29.015;4.924;90.603;435.963;581.992;173.579;0.0365;17.726;28.825;0.0042;2929.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.77;27.76;65.545;31.914;31.033;91.819;397.092;496.923;129.023;0.031;10.982;0.0136;0.0178;5889.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.91;28.26;62.176;37.067;92.602;62.967;279.063;697.435;1.813.146;0.0428;16.297;0.0205;0.0019;2884.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.35;15.2;58.913;24.906;0.2409;60.586;1.287.205;252.662;147.346;0.0431;1.73;0.0122;0.0042;2562.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
16.13;18.29;54.288;23.914;0.8326;93.404;1.090.201;566.001;151.919;0.0382;16.062;0.0159;0.0031;2501.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.88;18.0;65.781;20.544;40.415;94.652;303.927;2.198.098;221.367;0.0496;0.887;0.0273;0.0184;5054.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
30.6;29.37;53.052;31.498;89.997;63.343;112.71;2.014.867;10.855;0.0339;0.1394;0.0254;0.0076;2744.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.43;20.77;74.865;55.591;82.895;62.844;1.368.186;2.902.853;107.105;0.0404;0.6127;21.512;0.0064;5470.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.75;28.78;79.709;20.238;33.881;94.592;35.614;2.770.616;211.065;0.0258;0.5488;0.0146;0.0002;2365.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.66;26.25;59.006;47.761;1.366;63.842;308.903;1.699.622;239.183;0.0434;0.1901;0.0161;0.0142;2662.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.6;20.8;73.179;33.908;87.236;9.003;1.151.268;2.594.816;1.845.763;0.0462;19.934;2.903;0.0053;2057.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.64;29.34;74.371;31.217;33.985;90.258;138.792;2.508.405;244.101;0.0408;0.4171;29.287;0.0091;2477.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.68;22.76;58.395;58.412;89.741;63.001;155.791;2.334.018;205.535;0.0329;12.467;28.089;0.0156;4746.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.6;17.07;54.086;32.688;8.119;90.009;348.597;2.215.254;1.342.925;0.0416;15.278;0.027;0.0043;5910.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.74;20.95;53.809;55.685;95.102;62.237;1.300.625;366.531;2.394.072;0.0459;15.079;27.451;0.0083;2340.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.26;28.07;76.557;49.071;17.732;62.143;1.774.289;591.436;2.291.701;0.0323;13.742;26.059;0.0129;5402.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
30.66;19.62;61.437;56.292;44.237;60.045;251.615;2.604.902;2.164.364;0.0371;16.409;21.389;0.0187;5224.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.25;25.53;71.805;26.498;41.999;94.887;318.491;2.140.697;1.871.021;0.0445;0.3733;0.0176;0.0132;5107.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
18.92;24.07;7.995;59.861;42.771;63.821;1.933.216;378.054;153.885;0.0364;13.732;2.86;0.0135;2154.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
16.13;25.08;78.612;31.241;49.667;62.484;1.758.089;168.644;1.939.996;0.0384;14.996;2.705;0.0122;2655.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.98;20.39;75.856;27.606;90.282;92.756;459.027;747.463;1.553.352;0.0427;0.5442;27.047;0.0185;5710.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.21;22.09;6.224;39.493;38.106;63.529;1.765.834;318.823;1.337.547;0.0365;0.2205;0.0103;0.0095;2526.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.88;23.35;65.725;43.791;87.504;61.842;403.799;2.315.751;1.835.774;0.0464;17.856;0.0105;0.0158;5448.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
17.68;20.29;70.369;25.719;19.324;90.279;365.785;2.482.695;1.603.159;0.0265;0.3536;0.0274;0.0157;4852.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
16.8;22.61;67.623;22.183;80.851;60.619;1.132.356;2.272.135;117.179;0.033;0.0827;0.0123;0.0012;5827.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.45;29.21;61.926;41.682;89.239;64.303;412.971;472.596;2.276.826;0.0357;17.352;28.535;0.0042;5196.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.4;18.58;71.844;3.76;98.085;91.142;1.537.084;2.776.073;2.212.881;0.04;0.3278;24.637;0.0123;2512.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
18.7;25.48;64.825;27.512;88.612;63.255;1.021.731;307.383;1.935.017;0.0449;0.6439;0.0274;0.008;2980.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
18.22;23.81;7.538;42.846;30.016;92.154;1.851.973;37.117;170.062;0.0457;13.349;21.696;0.0002;2460.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
16.95;22.85;54.744;58.032;13.252;64.992;33.41;1.748.861;2.389.799;0.0496;0.1119;21.086;0.0094;5237.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
18.83;19.26;71.895;26.977;83.272;62.929;1.183.372;2.843.599;236.824;0.0417;0.3883;21.372;0.0081;2665.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.22;25.2;52.743;4.07;87.743;63.973;176.154;307.155;113.285;0.0317;13.994;2.288;0.0111;2688.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
30.41;24.6;68.951;37.025;97.097;9.178;324.449;567.963;220.205;0.0277;16.594;0.0294;0.0174;2848.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.68;19.41;60.242;53.886;15.864;64.241;489.614;2.913.185;18.39;0.0433;10.008;0.0122;0.0019;2728.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.53;25.2;60.144;54.991;43.923;93.109;382.673;622.879;209.869;0.0414;15.064;2.655;0.0011;2174.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.83;28.31;74.697;52.794;44.775;63.971;391.947;2.967.564;1.694.177;0.0363;16.797;2.053;0.0122;2324.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.31;28.66;54.397;35.719;14.719;91.486;28.064;489.186;183.315;0.0288;0.6264;21.135;0.0079;2074.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.31;28.47;51.992;28.552;13.775;90.899;1.200.509;2.302.133;1.578.838;0.0491;0.2746;0.0203;0.0086;2747.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
30.11;15.29;72.191;25.651;0.3851;91.365;347.717;231.112;189.918;0.045;0.1839;23.971;0.0126;2834.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.85;25.98;66.968;36.005;13.217;64.509;443.291;1.505.015;1.292.642;0.0359;19.641;0.0106;0.0123;5846.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.27;27.17;54.986;4.527;85.144;6.414;1.240.612;2.796.677;245.515;0.0378;0.9382;0.0104;0.0114;2817.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.7;18.31;79.391;28.693;88.382;60.464;332.735;653.308;2.402.514;0.0253;1.624;0.0233;0.0162;5686.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.35;17.28;64.367;44.789;28.323;94.246;30.005;64.383;238.328;0.0285;1.229;0.0194;0.0021;5021.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.2;29.35;65.259;26.703;87.034;94.099;338.873;1.610.051;221.464;0.0423;0.5452;0.0274;0.0094;5704.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.91;27.02;71.581;3.14;98.916;9.398;1.720.046;2.224.139;2.470.805;0.0287;0.9655;0.0199;0.0139;5933.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.78;18.24;64.407;48.874;34.961;63.015;1.739.639;1.509.714;238.927;0.0429;0.9977;2.142;0.0069;5703.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
16.57;26.24;61.025;43.942;9.05;92.354;1.417.668;456.376;1.216.832;0.0377;13.657;26.897;0.0184;5291.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.66;16.24;69.772;44.522;11.604;93.692;1.441.402;1.837.147;191.917;0.0275;15.471;0.0215;0.0028;5769.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
18.56;16.26;63.542;57.443;88.846;63.806;375.514;1.648.623;102.147;0.039;17.738;24.069;0.0052;4770.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.52;20.52;68.464;31.108;0.6294;91.551;155.193;1.558.784;1.551.096;0.0312;0.954;22.926;0.0141;2379.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.21;29.17;59.966;43.589;96.752;6.375;349.458;284.342;2.048.477;0.0441;12.908;26.104;0.0161;5688.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
17.11;17.6;5.441;5.355;85.767;90.955;1.148.389;441.011;2.059.771;0.0457;0.4321;0.0114;0.0112;2342.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.41;27.26;62.779;5.841;44.813;60.003;28.646;602.977;160.066;0.0303;0.2353;0.0258;0.0159;2141.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.37;18.9;58.935;25.046;83.513;91.765;483.075;638.333;246.218;0.0352;1.978;0.0238;0.0134;2939.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.37;15.09;60.453;48.148;98.459;91.015;359.857;1.541.472;110.629;0.0347;12.071;2.736;0.0035;2473.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
17.48;24.83;61.836;45.341;0.5641;94.282;1.010.793;682.143;235.679;0.0436;14.509;28.885;0.0175;2494.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
19.11;16.56;6.801;55.755;81.305;60.342;116.526;188.421;1.342.439;0.0371;14.914;26.746;0.0051;5822.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.81;24.45;7.848;43.429;83.085;91.106;1.151.991;2.053.165;208.626;0.0323;0.4424;0.0109;0.0174;2472.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
32.46;27.29;58.616;57.507;41.177;93.127;27.238;604.558;1.082.896;0.0387;19.357;25.415;0.0146;5132.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.43;25.25;75.234;40.957;33.901;61.936;327.597;2.132.226;200.111;0.028;0.4469;0.026;0.0067;2852.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.02;19.53;60.935;35.658;45.511;94.694;378.656;387.299;2.459.746;0.0458;0.6126;0.0156;0.0145;2716.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
15.29;25.62;55.395;2.825;81.038;91.346;475.191;1.816.982;1.681.864;0.0315;0.5103;28.035;0.0031;4822.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
33.27;24.91;55.346;20.431;98.994;63.922;181.649;2.841.123;1.197.351;0.0317;12.617;0.0248;0.0083;2472.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
31.02;28.79;63.808;48.168;18.098;90.768;252.549;379.453;2.206.471;0.0423;0.4855;26.429;0.0045;2272.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
34.02;28.5;77.672;41.246;14.677;62.146;461.974;319.875;143.026;0.0338;10.648;2.207;0.0005;2659.0;1;Moderate Suitability;Moderate Suitability: Water conditions are broadly acceptable for aquaculture, although closer monitoring or corrective management may be required.
